"","CAMPUS","CDB00A001219R","CDB00A001019D","CDH00A001219R","CDH00A001019D","CDW00A001219R","CDW00A001019D"
"475",15907114,32,217,29,185,43,-3
"476",15907116,-1,-1,30,-3,,
"477",15907117,-1,-1,40,669,79,19
"478",15907118,24,42,27,838,17,6
"479",15907119,50,10,25,490,-1,-1
"480",15907121,0,5,24,684,,
"481",15907123,,,27,-3,-1,-1
"482",15907124,23,13,37,412,31,13
"483",15907125,26,90,27,707,22,-3
"484",15907126,-1,-1,45,483,11,9
"485",15907127,40,-3,42,204,-1,-1
"486",15907129,,,35,954,-1,-1
"487",15907131,33,9,27,342,63,8
"488",15907132,24,-3,23,545,-1,-1
"489",15907134,35,66,44,623,41,17
"490",15907135,60,20,51,481,83,6
"491",15907136,-1,-1,31,584,27,-3
"492",15907137,19,320,26,458,42,12
"493",15907138,,,,,,
"494",15907139,-1,-1,21,433,-1,-1
"495",15907140,-1,-1,20,365,20,-3
"496",15907141,14,7,30,1640,38,21
"497",15907142,31,329,27,288,73,11
"498",15907143,,,35,261,33,-3
"499",15907144,27,26,25,680,40,-3
"500",15907146,15,-3,31,265,53,74
"501",15907147,20,65,21,684,0,11
"502",15907148,57,7,31,616,80,10
"503",15907149,88,8,33,780,25,-3
"504",15907150,0,5,30,597,52,23
"505",15907153,48,-3,31,239,,
"506",15907155,17,6,37,498,-1,-1
"507",15907157,-1,-1,21,948,10,-3
"508",15907158,10,86,22,433,,
"509",15907160,-1,-1,33,508,-1,-1
"510",15907161,-1,-1,27,1180,27,15
"511",15907162,26,27,31,688,29,7
"512",15907163,-1,-1,66,121,78,-3
"513",15907164,45,20,51,508,62,21
"514",15907165,14,28,28,296,50,6
"515",15907166,,,,,,
"516",15907168,12,-3,20,370,7,15
"517",15907169,21,-3,10,337,-1,-1
"518",15907172,31,100,38,335,,
"519",15907174,,,36,501,-1,-1
"520",15907175,17,12,33,1176,50,10
"521",15907176,17,6,23,575,-1,-1
"522",15907177,46,155,58,741,50,24
"523",15907179,42,12,31,1374,55,62
"524",15907180,,,,,,
"525",15907182,23,-3,14,181,-1,-1
"526",15907184,,,,,,
"527",15907186,,,,,,
"528",15907195,,,-1,-1,,
"529",15907201,,,,,,
"530",15907202,,,,,,
"531",15907210,13,23,43,960,59,17
"532",15907239,,,,,,
"533",15907240,,,,,,
"534",15907241,,,,,,
"535",15907242,,,,,,
"536",15907244,,,,,,
"537",15907245,,,,,,
"538",15907246,,,,,,
"539",15908001,52,33,44,3597,55,49
"540",15908037,,,,,,
"541",15908041,11,9,28,1644,29,14
"542",15908042,32,38,29,1435,45,29
"543",15908044,50,-3,30,1987,25,20
"544",15908104,-1,-1,29,638,-1,-1
